PARAM;AVG_TIME;RUN;FAILED
10;15376;1;1
10;15117;2;1
10;10684;3;1
50;19249;1;1
50;18137;2;1
50;13392;3;1
100;17241;1;1
100;16547;2;1
100;11758;3;1
