PARAM;AVG_TIME;RUN;FAILED
10;7183;1;1
10;8453;2;1
10;5938;3;1
100;12344;1;1
100;11524;2;1
100;9661;3;1
1000;18854;1;1
1000;14210;2;1
1000;10541;3;1
